lang
{
Language "polish"
Tokens
{

// chapter 01
Revo_Core0.sp_a1_begin_01 "<clr:255,200,109>Dzień, dobry obiekcie testowy, byłaś niedysponowana przez ostatnie 72 dni."
Revo_Core0.sp_a1_begin_02 "<clr:255,200,109>Centrum Wzbogacania Aperture Science gratuluje ci 36 rocznicy snu."
Revo_Core0.sp_a1_begin_03 "<clr:255,200,109>Zostałaś wybrana jako potencjalna kandydatka na członka Ludziego Zespołu Reagowania w Sytuacjach Awaryjnych."
Revo_Core0.sp_a1_begin_04 "<clr:255,200,109>Proszę zapoznać się z umową wyświetloną na ekranie."
Revo_Core0.sp_a1_begin_05 "<clr:255,200,109>Aby zostać zaakceptowaną do Ludziego Zespołu Reagowania w Sytuacjach Awaryjnych, musisz przejść przez zaawansowany tor testowy, gdzie twoje umiejętności rozwiązywania problemów, wytrzymałość oraz reakcje na trudne warunki zostaną ocenione."
Revo_Core0.sp_a1_begin_06 "<clr:255,200,109>Proszę nacisnąć przycisk aby zaakceptować warunki."
Revo_Core0.sp_a1_begin_07 "<clr:255,200,109>Dziękujemy za zgłoszenie się na ochotnika!"
Revo_Core0.sp_a1_begin_08 "<clr:255,200,109>Drzwi zostaną otwarte za Trzy... Dwa... Jeden..."

Revo_Core0.sp_a1_portalgun_intro_00 "<clr:255,200,109>Obiekty testowe po przebudzeniu mogą doświadczać psychicznych urazów spowodowanych długim spoczywaniem w stanie hibernacji."
Revo_Core0.sp_a1_portalgun_intro_01 "<clr:255,200,109>Aby dowiedzieć się czy twój mózg działa poprawnie zostaniesz poddana ankiecie."
Revo_Core0.sp_a1_portalgun_intro_02 "<clr:255,200,109>Jeśli uważasz że twój mózg jest wystarczająco sprawny aby rozpocząć testowanie, nacisnij przycisk przed sobą."
Revo_Core0.sp_a1_portalgun_intro_03 "<clr:255,200,109>Świetnie. Teraz udaj się przez portal aby kontynuować testowanie. Twój status którą sama oceniłaś jest bardziej niż wystarczający, aby testować."
Revo_Core0.sp_a1_portalgun_intro_04 "<clr:255,200,109>Informujemy że zauważalne uszkodzenie zmysłu wzroku nie jest częścią testu, a efektem ubocznym Siatki Dematerializującej Aperture Science, która w rzadkich przypadkach może zdezintegrować część fotoreceptorów znajdujących się w twojej głowie."
Revo_Core0.sp_a1_portalgun_intro_10 "<clr:255,200,109>Jesteś teraz w posiadaniu Przenośnego Działka Portalowego Aperture Science."
Revo_Core0.sp_a1_portalgun_intro_11 "<clr:255,200,109>Jako kandydatka na członka Ludziego Zespołu Reagowania w Sytuacjach Awaryjnych, oczekujemy od ciebie że przystosujesz się do niebezpiecznych sytuacji, w związku z czym nie zostaniesz poinformowana o niebezpieczeństwach płynących z użytkowania tego urządzenia."

Revo_Core0.sp_a1_fizzler_intro_00_0 "<clr:255,200,109>Twoja wydajność w następnej komorze testowej będzie mierzona w czasie, aby dowiedzieć się jak szybko rozwiązujesz łamigłowki i wykonujesz zadania w ekstremalnych warunkach pogodowych."
Revo_Core0.sp_a1_fizzler_intro_00_1 "<clr:255,200,109>W rzadkim przypadku, jeśli wiatr lub warunki pogodowe wydają się być normalne, prosimy o pozostanie w holu wejściowym do czasu spełnienia żądanych warunków."
Revo_Core0.sp_a1_fizzler_intro_01 "<clr:255,200,109>I stop...! Gratulacje obiekcie testowy #1! Właśnie ustanowiłaś nowy rekord w rozwiązywaniu tego testu. Teraz oficjalnie zajmujesz pierwsze i ostatnie miejsce w tabeli wyników."

Revo_Core0.sp_a1_laser_intro_00 "<clr:255,200,109>Dobra, co my tu mamy..."
Revo_Core0.sp_a1_laser_intro_01 "<clr:255,200,109>Następny test może zawierać skoncentrowane ilości promieniowania elektromagnetycznego, które mogą wywoływać ból w siatkówkach u niektórych ludzi."
Revo_Core0.sp_a1_laser_intro_02 "<clr:255,200,109>Centrum Wzbogacenia sugeruje przejście nastepującego testu z zamkniętymi oczami, jako że ubezpieczenie zdrowotne nie będzie dostępne w trakcie tego konketnego testu."
Revo_Core0.sp_a1_laser_intro_03 "<clr:255,200,109>W przypadku, gdy część fotoreceptorów twoich oczu poprzednio została zdeintegrowana przez Siatkę Dematerializującą, możesz zignorować wcześniejsze ostrzeżenie."
Revo_Core0.sp_a1_laser_intro_11 "<clr:255,200,109>Ukończyłaś test. Jeżeli jeszcze tego nie zrobiłaś, możesz otworzyć oczy."

Revo_Core0.sp_a1_cube_fling_intro_00 "<clr:255,200,109>Przed rozpoczęciem następnego testu, chcemy przypomnieć że jak dotąd żaden eksperyment, nie obalił, ani nie udowodnił że kostki obciążeniowe nie doświadczają bólu w momencie dezintegracji."
Revo_Core0.sp_a1_cube_fling_intro_10 "<clr:255,200,109>Dobra robota. Udało ci się przejść 5 komór testowych. Aby zapewnić wysoką jakość zasobów zespołu, następny test może zawierać niebezpieczne elementy. Zalecamy szczególną ostrożność. Powodzenia!"
Revo_Core0.sp_a1_cube_fling_intro_11 "<clr:255,200,109>W imieniu Centrum Wzbogacania, Chciałbym przeprosić za obecny stan placówki. Przez problemy techniczne, nie jesteśmy w stanie zapewnić odpowiedniej jakości w tym momencie."
Revo_Core0.sp_a1_cube_fling_intro_12_2 "<clr:255,200,109>Nieźle..."
Revo_Core0.sp_a1_cube_fling_intro_12_3 "<clr:255,200,109>Nieźle..."

Revo_Core0.sp_a1_catapult_intro_00 "<clr:255,200,109>Na skutek (nie)dawnych wydarzeń, niektóre katapulty powietrzne mogą być błędnie skonfigurowane, wysyłając w ten sposób obiekty w dowolnym kierunku. Bądź ostrożna!"
Revo_Core0.sp_a1_catapult_intro_01 "<clr:255,200,109>Cóż, ta katapulta napewno nie działa dobrze... Daj mi chwile."
Revo_Core0.sp_a1_catapult_intro_02 "<clr:255,200,109>Proszę. Spróbuj teraz!"
Revo_Core0.sp_a1_catapult_intro_03 "<clr:255,200,109>Dobrze. Ta powietrzna katapulta powinna być teraz prawidłowo skalibrowana."
Revo_Core0.sp_a1_catapult_intro_05 "<clr:255,200,109>Więc to dlatego w suficie są te dziury..."
Revo_Core0.sp_a1_catapult_intro_06 "<clr:255,200,109>Dobra robota. Od teraz wszystkie katapulty powinny być prawidłowo skonfigurowane, obiecuję."

Revo_Core0.sp_a1_final_test_00 "<clr:255,200,109>Dobra robota kandydacie. Coraz bardziej zbliżasz się do ostatniej komory testowej."
Revo_Core0.sp_a1_final_test_01 "<clr:255,200,109>Ukończenie ostatniej komory testowej oraz całego testu zapewni ci członkostwo w Ludzkim Zespole Reagowania w Sytuacjach Awaryjnych..."
Revo_Core0.sp_a1_final_test_10_0 "<clr:255,200,109>Dla przypomnienia: Zapewnione przez Aperture Science ubezpieczenie nie pokrywa obrażeń ani ofiar śmiertelnych spowodowanych spaleniem przez Barierę Świetlną Aperture Science."
Revo_Core0.sp_a1_final_test_10_1 "<clr:255,200,109>Bądź pewna że w przeciwieństwie do tkanki ludziej, całe wyposażenie Aperture Science zostało stworzone tak aby wytrzymać temperatury do 4000° kelvin'a."
Revo_Core0.sp_a1_final_test_30 "<clr:255,200,109>Gratulacje! Udało ci się!"
Revo_Core0.sp_a1_final_test_31 "<clr:255,200,109>Przepraszam że cię zaskoczyłem. Obecny protokół wymaga, żebym pozbył się wszystkich obiektów testówych. Więc musiałem zareagować zamnim byłabyś em... upieczona."
Revo_Core0.sp_a1_final_test_32 "<clr:255,200,109>Będę z tobą szczery. wcale nie istnieje żaden Ludzki Zespół Reagowania w Sytuacjach Awaryjnych. Zmyśliłem to... Przepraszam że cię okłamałem."
Revo_Core0.sp_a1_final_test_33 "<clr:255,200,109>Zanim wyjaśnię czemu cię tu sprowadziłem, musimy zarejestrować cię jako pracownika Aperture Science."
Revo_Core0.sp_a1_final_test_34 "<clr:255,200,109>Nie chcemy, aby systemy bezpieczeństwa cię wykrył. System wykrywania intruzów nie lubi gdy obiekty testowe opuszczają komorę."
Revo_Core0.sp_a1_final_test_35 "<clr:255,200,109>Nie daleko jest punkt kontroli bezpieczeństwa. Choć ze mną."

Revo_Core0.sp_a1_final_test_41 "<clr:255,200,109>Ciemno tu prawda? Punkt kontroli jest tam."
Revo_Core0.sp_a1_final_test_42 "<clr:255,200,109>Może mógłabyś spróbować przejść przez stacjonarny emiter portalowy?"
Revo_Core0.sp_a1_final_test_43 "<clr:255,200,109>To tutaj! Hmm... Sterowanie jest manualne, więc nie jestem w stanie ci pomóc. Masz pomysł co zrobić?"
Revo_Core0.sp_a1_final_test_50 "<clr:255,200,109>Dobra, więc teraz, żeby się zarejestrować musisz stanąc w skanerze. Jakiś plan jak?"
Revo_Core0.sp_a1_final_test_51 "<clr:255,200,109>Może mógłabyś użyć jeszcze raz tamtego portalu?"
